codedName;INCI_name;INN name;Ph. Eur. Name;CAS;EC_No;IUPAC_Name;Restriction;Function
L7334;TRICETYLMONIUM CHLORIDE;;;;;Hexadecanaminium, N-methyl-N,N-bis(hexadecyl)-, chloride;;Antistatic/hair conditioning
L7335;TRICHLOROETHANE;;;71-55-6;200-756-3;1,1,1-trichloroethane;;Solvent
L7336;TRICHODESMA ZEYLANI- CUM OIL;;;225234-10-6;;Trichodesma Zeylanicum Oil is the fixed oil obtained from the plant, Trichodesma zeylanicum,  Boraginaceae;;Emollient
L7337;TRICLOCARBAN;triclocarban;;101-20-2;202-924-1;1-(4-Chlorophenyl)-3-(3,4-dichlorophenyl)urea;VI/1,23;Preservative
L7338;TRICLOSAN;triclosan;;3380-34-5;222-182-2;5-Chloro-2-(2,4-dichlorophenoxy)phenol;VI/1,25;Preservative
L7339;TRICONTANYL  PVP;;;;;;;Film  forming/humectant
L7340;TRIDECETH-2;;;24938-91-8;;;;Emulsifying
L7341;TRIDECETH-2 CARBOXA- MIDE MEA;;;107628-04-6;;Poly(oxy-1,2-ethanediyl), .alpha.-[2-[(2-hydroxyethyl) amino]-2-oxoethyl]-.omega.-hydroxy-, mono-C13-15-alkyl ethers;;Viscosity controlling/foam boosting
L7342;TRIDECETH-3;;;914544;224-540-3;2-[2-[2-(tridecyloxy)ethoxy]ethoxy]ethanol;;Emulsifying
L7343;TRIDECETH-3 CAR- BOXYLIC ACID;;;24938-91-8/68412-55-5;;;;Surfactant/cleansing/foaming
L7344;TRIDECETH-3 PHOS- PHATE;;;2610033;;Poly(oxy-1,2-ethanediyl), .alpha.-tridecyl-.omega.-hydroxy-, phosphate;;Emulsifying
L7345;TRIDECETH-4 CAR- BOXYLIC ACID;;;56388-96-6;;;;Surfactant/cleansing/foaming
L7346;TRIDECETH-5;;;24938-91-8;;Poly(oxy-1,2-ethanediyl), .alpha.-tridecyl-.omega.-hydroxy;;Emulsifying
L7347;TRIDECETH-6;;;24938-91-8;;Poly(oxy-1,2-ethanediyl), .alpha.-tridecyl-.omega.-hydroxy;;Emulsifying/surfactant
L7348;TRIDECETH-6 PHOS- PHATE;;;2610033;;Poly(oxy-1,2-ethanediyl), .alpha.-tridecyl-.omega.-hydroxy-, phosphate;;Surfactant
L7349;TRIDECETH-7;;;24938-91-8;;;;Emulsifying
L7350;TRIDECETH-7 CAR- BOXYLIC ACID;;;;;;;Surfactant/cleansing/foaming
L7351;TRIDECETH-8;;;24938-91-8;;Poly(oxy-1,2-ethanediyl), .alpha.-tridecyl-.omega.-hydroxy;;Emulsifying/surfactant
L7352;TRIDECETH-9;;;24938-91-8;;Poly(oxy-1,2-ethanediyl), .alpha.-tridecyl-.omega.-hydroxy;;Emulsifying
L7353;TRIDECETH-10;;;24938-91-8;;Poly(oxy-1,2-ethanediyl), .alpha.-tridecyl-.omega.-hydroxy;;Emulsifying
L7354;TRIDECETH-10 PHOS- PHATE;;;2610033;;Poly(oxy-1,2-ethanediyl), .alpha.-tridecyl-.omega.-hydroxy-, phosphate;;Emulsifying
L7355;TRIDECETH-11;;;24938-91-8;;Poly(oxy-1,2-ethanediyl), .alpha.-tridecyl-.omega.-hydroxy;;Emulsifying
L7356;TRIDECETH-12;;;24938-91-8;;Poly(oxy-1,2-ethanediyl), .alpha.-tridecyl-.omega.-hydroxy;;Emulsifying/surfactant
L7357;TRIDECETH-15;;;24938-91-8;;Poly(oxy-1,2-ethanediyl), .alpha.-tridecyl-.omega.-hydroxy;;Emulsifying
L7358;TRIDECETH-15 CAR- BOXYLIC ACID;;;24938-91-8/68412-55-5;;;;Surfactant/cleansing/foaming
L7359;TRIDECETH-19 CAR- BOXYLIC ACID;;;;;;;Surfactant/cleansing/foaming
L7360;TRIDECETH-20;;;24938-91-8;;;;Emulsifying/cleansing
L7361;TRIDECETH-21;;;24938-91-8;;Poly(oxy-1,2-ethanediyl), .alpha.-tridecyl-.omega.-hydroxy- (21 mol EO average molar   ratio);;Surfactant/cleansing
L7362;TRIDECETH-50;;;24938-91-8;;Poly(oxy-1,2-ethanediyl), .alpha.-tridecyl-.omega.-hydroxy;;Emulsifying/cleansing
L7363;TRIDECYL  ALCOHOL;;;112-70-9;203-998-8;Tridecan-1-ol;;Emollient/emulsion stabilising/visc- osity  controlling/refatting
L7364;TRIDECYL BEHENATE;;;42233-08-9;;Docosanoic acid, tridecyl  ester;;Emollient/skin  conditioning
L7365;TRIDECYL COCOATE;;;;;Fatty acids, coco, tridecyl esters;;Emollient/skin  conditioning
L7366;TRIDECYL ERUCATE;;;131154-74-0;;13-docosenoic acid, tridecyl  ester;;Emollient
L7367;TRIDECYL ETHYLHEX- ANOATE;;;125804-07-1;;Hexanoic acid, 2-ethyl-, tridecyl  ester;;Emollient/skin  conditioning
L7368;TRIDECYL ISONONANO- ATE;;;125804-18-4;;Hexanoic acid, 3,5,5-trimethyl-, tridecyl  ester;;Emollient/skin  conditioning
L7369;TRIDECYL MYRISTATE;;;36617-27-3;253-129-1;Tridecyl myristate;;Emollient/skin  conditioning
L7370;TRIDECYL NEOPENTANO- ATE;;;106436-39-9;;Propanoic acid, 2,2-dimethyl-, tridecyl ester,   branched;;Binding/emollient/skin condition- ing
L7371;TRIDECYL SALICYLATE;;;19666-16-1;243-214-1;Tridecyl salicylate;;Antistatic/skin conditioning
L7372;TRIDECYL STEARATE;;;31556-45-3;250-696-7;Tridecyl stearate;;Emollient/skin  conditioning
L7373;TRIDECYL STEAROYL STEARATE;;;125804-06-0;;Octadecanoic acid, 12-(1-oxooctadecyloxy)-, tridecyl  ester;;Emollient/skin  conditioning
L7374;TRIDECYL TRIMELLITATE;;;94109-09-8;302-446-4;Tri(tridecyl) benzene-1,2,4-tricarboxylate;;Emollient/skin  conditioning
L7375;TRIDECYLBENZENESUL- FONIC ACID;;;25496-01-9;247-036-5;Tridecylbenzenesulphonic acid;;Surfactant/foaming/cleansing
L7376;TRIERUCIN;;;2752-99-0;220-399-7;Propane-1,2,3-triyl  tris[(Z)-docos-13-enoate];;Emollient
L7377;TRIETHANOLAMINE;trolamine;;102-71-6;203-049-8;2,2',2''-nitrilotriethanol;III/1,62;Buffering
L7378;TRIETHONIUM HYDRO- LYZED COLLAGEN ETHO- SULFATE;;;111174-64-2;;Protein hydrolyzates, leather, N,N-di-et, di-et sulfate-quater- nized;;Antistatic/hair conditioning/skin conditioning
L7379;TRIETHYL CITRATE;;;77-93-0;201-070-7;Triethyl citrate;;Antioxidant/deodorant/solvent/ plasticiser
L7380;TRIETHYLENE GLYCOL;;;112-27-6;203-953-2;2,2'-(ethylenedioxy)diethanol;;Solvent
L7381;TRIETHYLENE GLYCOL HYDROGENATED ROSI- NATE;;;68648-53-3;271-996-4;Resin acids and Rosin acids, hydrogenated, esters with triethylene glycol;;Emollient/viscosity controlling
