codedName;INCI_name;INN name;Ph. Eur. Name;CAS;EC_No;IUPAC_Name;Restriction;Function
L4458;PALMAMIDOPROPYL BETAINE;;;;;1-propanaminium, N-carboxymethyl-N,N-dimethyl-3- amino-, N-(palm-oil acyl) derivs., hydroxides, inner  salts;;Antistatic/surfactant/skin condi- tioning/cleansing/foam boosting/ hair conditioning
L4459;PALMARIA PALMATA EXTRACT;;;223751-74-4;;Palmaria Palmata Extract is an extract of the algae, Palmaria palmata, Rhodymeniaceae;;Skin protecting
L4460;PALMITAMIDE DEA;;;7545-24-6;231-427-2;N,N-bis(2-hydroxyethyl)hexadecan-1-amide;;Antistatic/viscosity controlling/ foam boosting
L4461;PALMITAMIDE MEA;palmidrol;;544-31-0;208-867-9;Hexadecanamide, N-(2-hydroxyethyl)-;;Antistatic/viscosity controlling/ foam boosting
L4462;PALMITAMIDOHEXADE- CANEDIOL;;;129426-19-3;;1,3-hexadecanediol, 2-(1-oxohexadecyl)amino-;;Skin conditioning
L4463;PALMITAMIDOPROPYL BETAINE;pendecamaine;;32954-43-1;251-306-8;1-Propanaminium, N-(carboxymethyl)-N,N-dimethyl-3-[(1- oxohexadecyl)amino]-, inner salt;;Antistatic/Surfactant/cleansing/hair conditioning/skin conditioning/ foam boosting
L4464;PALMITAMIDOPROPYL DIETHYLAMINE;;;67806-13-7;;Hexadecanamide, N-[3-(diethylamino)propyl]-;;Antistatic
L4465;PALMITAMIDOPROPYL DIMETHYLAMINE;;;39669-97-1;254-585-4;N-[3-(dimethylamino)propyl]hexadecan-1-amide;;Antistatic
L4466;PALMITAMIDOPROPYL DIMETHYLAMINE LAC- TATE;;;;;Hexadecanamide, N-(3-dimethylamino)propyl-, 2-hydroxy- propanoate;;Antistatic
L4467;PALMITAMIDOPROPYL DIMETHYLAMINE PRO- PIONATE;;;;;Hexadecanamide,  N-(3-dimethylamino)propyl-,  propanoate;;Antistatic
L4468;PALMITAMIDOPROPYLA- MINE OXIDE;;;67806-12-6;;Hexadecanamide,  N-[(3-dimethylamino)propyl]-, N-oxide;;Antistatic/Surfactant/cleansing/hair conditioning/foam boosting/hydro- trope
L4469;PALMITAMINE;hexadecylamine;;143-27-1;205-596-8;Hexadecylamine;;Antistatic
L4470;PALMITAMINE OXIDE;;;7128-91-8;230-429-0;Hexadecyldimethylamine N-oxide;;Antistatic/surfactant/foam boost- ing/hydrotrope/hair conditioning/ cleansing
L4471;PALMITIC ACID;;;57-10-3;200-312-9;Hexadecanoic acid;;Emollient/emulsifying
L4472;PALMITOLEAMIDOPRO- PYL DIMETHYLAMINE LACTATE;;;;;7-hexadecenamide, N-(3-dimethylaminopropyl)-, 2-hydro- xypropanoate;;Antistatic
L4473;PALMITOLEAMIDOPRO- PYL DIMETHYLAMINE PROPIONATE;;;;;7-hexadecenamide,  N-(3-aminopropyl)-,  propanoate;;Antistatic
L4474;PALMITOYL CAMELLIA SINENSIS;;;226994-28-1;;Camellia sinensis extract, reaction products with hexadeca- noyl chloride;;Skin conditioning
L4475;PALMITOYL CARNITINE;;;;;1-propanaminium, 3-carboxy-2-(1-oxohexadecyloxy)-N,N, N-trimethyl-, hydroxide, inner  salt;;Skin conditioning
L4476;PALMITOYL COLLAGEN AMINO ACIDS;;;;;;;Antistatic/cleansing
L4477;PALMITOYL GLUTAMIC ACID;;;38079-66-2;;Glutamic acid, N-(1-oxohexadecyl)-;;Skin conditioning
L4478;PALMITOYL GLYCINE;;;;;Glycine, N-(1-oxohexadecyl)-;;Hair  conditioning/cleansing
L4479;PALMITOYL GRAPE SEED;;;226994-27-0;;Grape seed, vitis vinifera, extract, reaction products with hexadecanoyl chloride;;Skin conditioning
L4480;PALMITOYL HYDRO- LYZED COLLAGEN;;;68915-45-7;;;;Antistatic/emollient/surfactant
L4481;PALMITOYL HYDRO- LYZED MILK PROTEIN;;;;;;;Antistatic/cleansing
L4482;PALMITOYL HYDRO- LYZED WHEAT PROTEIN;;;;;;;Surfactant/cleansing
L4483;PALMITOYL HYDROXY- PROPYLTRIMONIUM AMYLOPECTIN/GLYCERIN CROSSPOLYMER;;;;;;;Skin conditioning
L4484;PALMITOYL INULIN;;;195395-22-3;;Inulin, hexadecanoate;;Emollient/emulsifying
L4485;PALMITOYL KERATIN AMINO ACIDS;;;;;;;Antistatic/cleansing
L4486;PALMITOYL MYRISTYL SERINATE;;;;;L-serine, N-(1-oxohexadecyl)-, tetradecyl ester;;Skin conditioning
L4487;PALMITOYL OLIGOPEP- TIDE;;;;;;;Skin conditioning/Cleansing
L4488;PALMITOYL PEA AMINO ACIDS;;;226993-78-8;;Amino acids, pea, reaction products with hexadecanoyl chloride;;Hair conditioning/skin condition- ing
L4489;PALMITOYL PG-TRIMO- NIUM CHLORIDE;;;;;1-propanaminium, N,N,N-trimethyl-2-hydroxy-3-(1-oxo- hexadecyloxy)-, chloride;;Antistatic/hair conditioning
L4490;PALMITOYL QUINOA AMINO ACIDS;;;226993-82-4;;Amino acids, quinoa, reaction products with hexadecanoyl chloride;;Hair conditioning/skin condition- ing
L4491;PALMITOYL SILK AMINO ACIDS;;;227200-39-7;;Amino acids, silk, reaction products with hexadecanoyl chloride;;Hair  conditioning/cleansing
L4492;PALMITOYL SYNTHOPEP- TIDE;;;;;;;Skin conditioning
L4493;PALMITYL TRIHYDROX- YETHYL PROPYLENEDIA- MINE  DIHYDROFLUORIDE;;;;;1,3-propanediamine, N-hexadecyl-N,N'N'-tris(2-hydro- xyethyl)-, dihydrofluoride;III/1,38;Oral care/antiplaque
L4494;P-AMINOPHENOL;;;123-30-8;204-616-2;4-aminophenol  (CI 76550);;Hair dyeing
L4495;P-AMINOPHENOL HCL;;;51-78-5;200-122-6;4-hydroxyanilinium chloride (CI 76550);;Hair dyeing
L4496;P-AMINOPHENOL SUL- FATE;;;63084-98-0;263-847-7;Bis[(4-hydroxyphenyl)ammonium]  sulphate  (CI 76550);;Hair dyeing
L4497;PANAX GINSENG EXTRACT;;;84650-12-4;283-493-7;Panax Ginseng Extract is an extract of the roots of the ginseng, Panax ginseng, Araliaceae;;Tonic/hair conditioning/emollient/ Skin protecting
L4498;PANCREATIN;pancreatin;;8049-47-6;232-468-9;Pancreatin;;Hair conditioning/skin condition- ing
L4499;PANICUM MILIACEUM EXTRACT;;;90082-36-3;290-125-9;Panicum Miliaceum Extract is an extract of the seeds of the millet, Panicum miliaceum,  Gramineae;;Smoothing/skin conditioning
L4500;P-ANISIC ACID;;;100-09-4;202-818-5;Benzoic acid, 4-methoxy-;;Masking
L4501;PANTETHINE;;;16816-67-4;240-842-8;[R-(R*,R*)]-N,N'-[dithiobis[ethyleneimino(3-oxopropane- 3,1-diyl)]]bis[2,4-dihydroxy-3,3-dimethylbutyramide];;Emollient/hair  conditioning
L4502;PANTHENOL;dexpanthenol;dexpanthenolum;81-13-0;201-327-3;Butanamide, 2,4-dihydroxy-N-(3-hydroxypropyl)-3,3- dimethyl-, (2R)-;;Antistatic/hair conditioning/skin conditioning
L4503;PANTHENYL ETHYL ETHER;;;667-83-4;211-569-1;(+)-N-(3-ethoxypropyl)-2,4-dihydroxy-3,3-dimethylbutyra- mide;;Antistatic/hair conditioning
L4504;PANTHENYL ETHYL ETHER ACETATE;;;;;Butanamide, 2-hydroxy-4-acetyloxy-3,3-diemthyl-N-(3- ethoxypropyl)-;;Antistatic/hair conditioning
L4505;PANTHENYL HYDROXY- PROPYL STEARDIMO- NIUM CHLORIDE;;;;;1-octadecanaminium, N,N-dimethyl-N-[2-hydroxy-3-[2,2- dimethyl-3-hydroxy-4-oxo-4-(3-hydroxypropyl)amino] butyl]-, chloride;;Antistatic/hair conditioning
L4506;PANTHENYL TRIACETATE;;;94089-18-6;302-118-0;4-[(3-acetoxypropyl)amino]-2,2-dimethyl-4-oxobutane-1,3- diyl diacetate;;Antistatic/hair conditioning
L4507;PANTOTHENIC ACID;pantothenic  acid;;79-83-4;201-229-0;D-pantothenic  acid;;Antistatic/hair conditioning/skin conditioning
L4508;PANTOTHENIC ACID POLYPEPTIDE;;;;;;;Antistatic/hair conditioning/skin conditioning
L4509;PAPAIN;papain;;9001-73-4;232-627-2;Papain;;Antistatic/hair conditioning/skin conditioning
L4510;PAPAVER ORIENTALE OIL;;;;;Papaver Orientale Oil is the fixed oil expressed from the seeds of the poppy, Papaver orientale,   Papaveraceae;;Emollient/solvent
L4511;PAPAVER RHOEAS EXTRACT;;;84696-43-5;283-651-5;Papaver Rhoeas Extract is an extract of the petals of the corn poppy, Papaver rhoeas,  Papaveraceae;;Soothing/emollient
L4512;PARAFFIN;;;8002-74-2/64742-51-4;232-315-6/265-154-5;Paraffin waxes and Hydrocarbon waxes. A complex combination of hydrocarbons obtained from petroleum fractions by solvent crystallization (solvent deoiling) or by the sweating process. It consists predominantly of straight chain hydrocarbons having carbon numbers predominantly greater than C20/Paraffin waxes (petroleum), hydrotreated.  A complex combination of hydrocarbons obtained by  treating a petroleum wax with hydrogen in the presence of a catalyst. It consists predominantly of straight chain   paraffinic hydrocarbons having carbon numbers predomi- nantly  in the  range  of about C20 through  C50;;Emollient/viscosity controlling
L4513;PARAFFINUM  LIQUIDUM;mineral oil;paraffinum liquidum/ paraffinum perliqui- dum;8012-95-1;232-384-2;Paraffin oils.  Liquid hydrocarbons  from petroleum;;Antistatic/emollient/solvent/Skin protecting
L4514;PARFUM;;;;;Perfume and aromatic compositions and their raw materials;;Deodorant/masking
L4515;PARIETARIA OFFICINALIS EXTRACT;;;84012-32-8;281-676-6;Parietaria Officinalis Extract is an extract of the leaves and stems of the pellitory, Parietaria officinalis,  Urticaceae;;Soothing/emollient
L4516;PASSIFLORA EDULIS EXTRACT;;;91770-48-8;294-833-9;Passiflora Edulis Extract is an extract of the flowers of the passionflower, Passiflora edulis, Passifloraceae;;Skin conditioning
L4517;PASSIFLORA EDULIS FRUIT EXTRACT;;;91770-48-8;294-833-9;Passiflora Edulis Fruit Extract is an extract of the fruit of Passiflora edulis, Passifloraceae;;Skin conditioning
L4518;PASSIFLORA EDULIS OIL;;;;;Passiflora Edulis Oil is the fixed oil expressed from the seeds of the passionfruit, Passiflora edulis,  Passifloraceae;;Emollient
L4519;PASSIFLORA INCARNATA EXTRACT;;passiflorae incarnatae extractum;72968-47-9;277-142-7;Passiflora Incarnata Extract is an extract of the flowers of the passionflower, Passiflora incarnata,  Passifloraceae;;Skin  conditioning/Skin protecting
L4520;PASSIFLORA INCARNATA FRUIT EXTRACT;;;72968-47-9;277-142-7;Passiflora Incarnata Fruit Extract is an extract of the fruits of the passionflower, Passiflora incarnata,  Passifloraceae;;Skin  conditioning/Skin protecting
L4521;PASSIFLORA INCARNATA OIL;;;97676-26-1;;Passiflora Incarnata Oil is the oil expressed from the seeds of Passiflora incarnata, Passifloraceae. It consists primarily of the glycerides of the fatty  acids;;Skin protecting
L4522;PASSIFLORA LAURIFOLIA EXTRACT;;;223747-97-5;;Passiflora Laurifolia Extract is an extract of the flowers of Passiflora laurifolia, Passifloraceae;;Skin conditioning
L4523;PASSIFLORA LAURIFOLIA FRUIT EXTRACT;;;223747-97-5;;Passiflora Laurifolia Fruit Extract is an extract of the fruit of the passionflower, Passiflora laurifolia, Passifloraceae;;Skin conditioning
L4524;PASSIFLORA QUADRAN- GULARIS EXTRACT;;;;;Passiflora Quadrangularis Extract is an extract of the flowers of the passionflower, Passiflora quadrangularis, Passiflor- aceae;;Soothing/refreshing/Skin  protecting
L4525;PASSIFLORA QUADRAN- GULARIS FRUIT EXTRACT;;;;;Passiflora Quadrangularis Fruit Extract is an extract of the fruits of the passionflower, Passiflora quadrangularis, Passifloraceae;;Soothing/Skin protecting
L4526;PASSIFLORA QUADRAN- GULARIS HULL EXTRACT;;;;;Passiflora Quadrangularis Hull Extract is an extract of the hull of the passionflower, Passiflora quadrangularis, Passi- floraceae;;Skin conditioning
L4527;PAULLINIA CUPANA EXTRACT;;;84929-28-2;284-512-1;Paullinia Cupana Extract is an extract of the seeds of the guarana, Paullinia cupana,  Sapindaceae;;Skin  conditioning/tonic
L4528;PAULLINIA CUPANA FRUIT EXTRACT;;;84929-28-2;284-512-1;Paullinia Cupana Fruit Extract is an extract of the fruits of the guarana, Paullinia cupana,  Sapindaceae;;Skin conditioning
L4529;PCA;pidolic acid;;98-79-3;202-700-3;Pidolic acid;;humectant/moisturising
L4530;PCA DIMETHICONE;;;179005-03-9;;3-(4-Carboxy-2-oxo-1-pyrrolidinyl)propyl methyl siloxane, polymer  with  dimethylsiloxane,  trimethylsilyl- terminated;;Hair conditioning/skin condition- ing
L4531;PCA ETHYL COCOYL ARGINATE;;;95370-65-3;305-928-2;Dl-Proline, 5-oxo-, compd. with N2-coco acyl-l-arginine Et ester;;Antistatic/surfactant/moisturising
L4532;PCA GLYCERYL OLEATE;;;84608-82-2;283-393-3;2-hydroxy-3-(oleoyloxy)propyl 5-oxo-L-prolinate;;Emollient
L4533;P-CHLORO-M-CRESOL;chlorocresol;chlorocresolum;59-50-7;200-431-6;Chlorocresol;VI/1,24;Preservative
L4534;P-CHLOROPHENOL;parachlorophenol;;106-48-9;203-402-6;4-chlorophenol;;Antimicrobial
L4535;P-CRESOL;;;106-44-5;203-398-6;Phenol, 4-methyl-;;Antimicrobial
L4536;P-CYMENE;;;99-87-6;202-796-7;P-cymene;;Masking
L4537;PEA PALMITATE;;;;;Pea, reaction  products  with  palmitoyl chloride;;Skin conditioning
L4538;PEANUT ACID;;;91051-35-3;293-087-1;Fatty acids, peanut oil;;cleansing
L4539;PEANUT GLYCERIDES;;;91744-77-3;294-643-6;Glycerides, peanut-oil mono-, di- and   tri-;;Emulsifying/skin conditioning
L4540;PEANUT OIL PEG-6 ESTERS;;;68440-49-3;;Peanut oil, ethoxylated;;Emollient
L4541;PEANUTAMIDE  MEA;;;93572-05-5;297-433-2;Fatty acids,  peanut-oil,  compds.  with ethanolamine;;Emulsifying/emulsion stabilising/ surfactant/viscosity controlling/ foam  boosting
L4542;PEANUTAMIDE MIPA;;;;;Amides, peanut-oil, N-(2-hydroxypropyl);;Emulsifying/emulsion stabilising/ surfactant/viscosity controlling/ foam  boosting
L4543;PECTIN;pectin;;9000-69-5;232-553-0;Pectin;;Binding/emulsion stabilising/visc- osity controlling
L4544;PEG-2 CASTOR OIL;;;61791-12-6;;Castor oil, ethoxylated;;Emulsifying/surfactant
L4545;PEG-2 COCAMINE;;;61791-14-8;;Amines, coco alkyl, ethoxylated;;Emulsifying
L4546;PEG-2 COCO-BENZONIUM CHLORIDE;;;;;;;Antistatic/surfactant
L4547;PEG-2 COCOMONIUM CHLORIDE;;;70750-47-9;274-846-6;Quaternary ammonium compounds, coco alkylbis(hydro- xyethyl)methyl, chlorides;;Antistatic/emulsifying/surfactant
L4548;PEG-2 DIETHYLHEXANO- ATE;;;72269-52-4;276-553-9;Oxydiethylene bis(2-ethylhexanoate);;Emulsifying
L4549;PEG-2 DIISONONANOATE;;;;;;;Emulsifying
L4550;PEG-2 DILAURATE;;;2595081;;Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxododecyl)-.omega.- [(1-oxododecyl)oxy]-;;Emulsifying
L4551;PEG-2 DIMEADOWFOA- MAMIDOETHYLMONIUM METHOSULFATE;;;226995-92-2;;Poly(oxy-1,2-ethanediyl), .alpha.-[2-[bis(2-aminoethyl) methylammonio]ethyl]-.omega.-hydroxy, N,N'-di-Lim- nanthes alba seed oil acyl derivatives, methyl sulfates (salts) (2 mol EO average molar  ratio);;Antistatic/hair conditioning
L4552;PEG-2 DISTEARATE;;;109-30-8;203-663-6;Oxydiethane-1,2-diyl distearate;;Emulsifying
L4553;PEG-2 HYDROGENATED CASTOR OIL;;;;;;;Emulsifying
L4554;PEG-2 HYDROGENATED TALLOW AMINE;;;61791-26-2;;Amines, tallow alkyl, ethoxylated;;Emulsifying/surfactant
L4555;PEG-2 LACTAMIDE;;;;;;;Humectant
L4556;PEG-2 LAURAMINE;;;31017-83-1;;Poly(oxy-1,2-ethanediyl), .alpha.,.alpha'.-[(dodecylimino)di- 2,1-ethanediyl]bis[.omega.-hydroxy- (2 mol EO average molar ratio);;Antistatic/foam boosting
L4557;PEG-2 LAURATE;;;141-20-8;205-468-1;2-(2-hydroxyethoxy)ethyl laurate;;Emulsifying
L4558;PEG-2 LAURATE SE;;;;;;;Emulsifying
L4559;PEG-2M;;;25322-68-3;;Poly(oxy-1,2-ethanediyl), .alpha.-hydro-.omega.-hydroxy-;;Binding/emulsion stabilising/visc- osity controlling
L4560;PEG-2 MILK SOLIDS;;;;;;;Antistatic/emollient
L4561;PEG-2 OLEAMIDE;;;20429-33-8;243-818-5;(Z)-N-[2-(2-hydroxyethoxy)ethyl]-9-octadecenamide;;Emulsifying
L4562;PEG-2 OLEAMINE;;;25307-17-9;246-807-3;2,2'-(octadec-9-enylimino)bisethanol;;Emulsifying
L4563;PEG-2 OLEAMMONIUM CHLORIDE;;;18448-65-2;242-332-0;Bis(hydroxyethyl)methyloleylammonium chloride;;Antistatic/emulsifying/surfactant
L4564;PEG-2 OLEATE;;;106-12-7;203-364-0;2-(2-hydroxyethoxy)ethyl  monooleate;;Emulsifying
L4565;PEG-2 OLEATE SE;;;;;;;Emulsifying
L4566;PEG-2  RICINOLEATE;;;5401-17-2;226-448-9;2-(2-hydroxyethoxy)ethyl (R)-12-hydroxyoleate;;Emulsifying
L4567;PEG-2 SORBITAN ISO- STEARATE;;;;;;;Surfactant/emulsifying
L4568;PEG-2 SOYAMINE;;;61791-24-0;;Amines, soya alkyl, ethoxylated;;Emulsifying/surfactant
L4569;PEG-2 STEARAMIDE CAR- BOXYLIC ACID;;;;;;;Surfactant
L4570;PEG-2 STEARAMINE;;;10213-78-2;233-520-3;2,2'-(octadecylimino)bisethanol;;Antistatic/emulsifying
L4571;PEG-2 STEARATE;;;106-11-6;203-363-5;2-(2-hydroxyethoxy)ethyl stearate;;Emulsifying/opacifying
L4572;PEG-2 STEARATE SE;;;;;;;Emulsifying
L4573;PEG-2 STEARMONIUM CHLORIDE;;;60687-87-8;;;;Antistatic/emulsifying
L4574;PEG-3 CASTOR OIL;;;61791-12-6;;Castor oil, ethoxylated;;Emulsifying/surfactant
L4575;PEG-3 COCAMIDE;;;61791-08-0;;Fatty acids, coco, reaction products with ethanolamine, ethoxylated;;Emulsifying/surfactant
L4576;PEG-3 COCAMINE;;;61791-14-8;;Amines, coco alkyl, ethoxylated;;Emulsifying
L4577;PEG-3 DIOLEOYLAMI- DOETHYLMONIUM METHOSULFATE;;;224948-78-1;;Poly(oxy-1,2-ethanediyl), .alpha.-[2-[N-methyl-N,N-bis[2- [[(9Z)-1-oxo-9-octadecenyl]amino]ethyl]ammonio]ethyl]-. omega.-hydroxy, methyl sulfate (salt) (3 mol EO average molar ratio);;Antistatic/hair conditioning
L4578;PEG-3 DIPALMITATE;;;32628-06-1;;Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxohexadecyl)-.omega.- [(1-oxohexadecyl)oxy]-;;Emulsifying
L4579;PEG-3 2,2'-DI-P-PHENYLE- NEDIAMINE;;;;;;;Hair dyeing
L4580;PEG-3 DIROSINATE;;;242812-90-4;;Resin acids and rosin acids, diesters with polyethylene glycol (3 mol EO averal molar  ratio);;Skin conditioning/viscosity con- trolling
L4581;PEG-3 DISTEARATE;;;2595268;;Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxooctadecyl)-.omega.- [(1-oxooctadecyl)oxy]-;;Emulsifying
L4582;PEG-3 LANOLATE;;;68459-50-7;;Fatty acids, lanolin, ethoxylated;;Emulsifying
L4583;PEG-3 LAURAMIDE;;;26635-75-6;;Poly(oxy-1,2-ethanediyl), .alpha.-[2-[(1-oxododecyl)amino] ethyl]-.omega.-hydroxy-;;Emulsifying
L4584;PEG-3 LAURAMINE OXIDE;;;;;Poly(oxy-1,2-ethanediyl), .alpha.-hydro-.omega.-.omega'.- [(dodecyloxidoimino)di- (3 mol EO average molar   ratio);;Antistatic/surfactant
L4585;PEG-3 OLEAMIDE;;;;;;;Surfactant/emulsifying
L4586;PEG-3 OLEATE;;;10233-14-4;233-561-7;2-[2-(2-hydroxyethoxy)ethoxy]ethyl oleate;;Emulsifying
L4587;PEG-3 SORBITAN OLEATE;;;9005-65-6;;Sorbitan, mono-9-octadecenoate, poly(oxy-1,2-ethanediyl) derivs., (Z)-;;Emulsifying
L4588;PEG-3 SORBITAN STEA- RATE;;;9005-67-8;;Sorbitan, monooctadecanoate, poly(oxy-1,2-ethanediyl) derivs;;Emulsifying
L4589;PEG-3 STEARATE;;;9004-99-3;;Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxooctadecyl)-.omega.- hydroxy-;;Humectant
L4590;PEG-3 TALLOW AMINO- PROPYLAMINE;;;61790-85-0;;Amines, N-tallow alkyltrimethylenedi-,  ethoxylated;;Emulsifying
L4591;PEG-3 TALLOW PROPYLE- NEDIMONIUM DIMETHO- SULFATE;;;93572-63-5;297-495-0;Quaternary ammonium compounds, N,N,N'-tris(hydro- xyethyl)-N,N'-dimethyl-N'-tallow alkyltrimethylenedi-, bis (Me sulfates) (salts);;Antistatic
L4592;PEG-3/PPG-2 GLYCERYL/ SORBITOL HYDROXYS- TEARATE/ISOSTEARATE;;;;;;;Emulsifying
L4593;PEG-4;macrogol 200;;112-60-7/25322-68-3;203-989-9;3,6,9-trioxaundecane-1,11-diol;;Humectant/solvent
L4594;PEG-4 CASTOR OIL;;;61791-12-6;;Castor oil, ethoxylated;;Emulsifying/surfactant
L4595;PEG-4 DIHEPTANOATE;;;70729-68-9;274-829-3;Oxybis(ethane-2,1-diyloxyethane-2,1-diyl)  bisheptanoate;;Emulsifying
L4596;PEG-4 DILAURATE;;;2595081;;Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxododecyl)-.omega.- [(1-oxododecyl)oxy]-;;Emulsifying
L4597;PEG-4 DIOLEATE;;;2595236;;Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxo-9-octadecenyl)-. omega.-[(1-oxo-9-octadecenyl)oxy]-, (Z,Z)-;;Emulsifying
L4598;PEG-4 DISTEARATE;;;2595268;;Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxooctadecyl)-.omega.- [(1-oxooctadecyl)oxy]-;;Emulsifying
L4599;PEG-4  ETHYLHEXANOATE;;;;;;;Emulsifying
L4600;PEG-4 ISOSTEARATE;;;56002-14-3;;Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxoisooctadecyl)-. omega.-hydroxy-;;Emulsifying
L4601;PEG-4 LANOLATE;;;68459-50-7;;Fatty acids, lanolin, ethoxylated;;Emulsifying
L4602;PEG-4 LAURATE;;;9004-81-3;;Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxododecyl)-.omega.- hydroxy-;;Emulsifying/surfactant
L4603;PEG-4 OLEAMIDE;;;26027-37-2;;Poly(oxy-1,2-ethanediyl), .alpha.-[2-[(1-oxo-9-octadecenyl) amino]ethyl]-.omega.-hydroxy-;;Emulsifying
L4604;PEG-4 OLEATE;;;10108-25-5;233-293-0;2-[2-[2-(2-hydroxyethoxy)ethoxy]ethoxy]ethyl oleate;;Emulsifying
L4605;PEG-4 OLIVATE;;;226708-41-4;;Fatty acids, olive oil, ethoxylated (4 mol EO average molar ratio);;Emulsifying
L4606;PEG-4 POLYGLYCERYL-2 DISTEARATE;;;86360-24-9;;Poly(oxy-1,2-ethanediyl),.alpha.-hydro-.omega.-hydroxy-, ether with oxybis[propanediol]dioctadecanoate (2:1) (4 mol EO average molar ratio);;Emulsifying
L4607;PEG-4 POLYGLYCERYL-2 STEARATE;;;;;;;Emulsifying
L4608;PEG-4 PROLINE LINOLE- ATE;;;;;;;Emollient
L4609;PEG-4 PROLINE LINOLE- NATE;;;;;;;Emollient
L4610;PEG-4  RAPESEEDAMIDE;;;85536-23-8;;Amines, rape-oil, N-(hydroxyethyl), ethoxylated;;Viscosity controlling
L4611;PEG-4 STEARAMIDE;;;;;;;Surfactant
L4612;PEG-4 STEARATE;;;106-07-0;203-358-8;2-[2-[2-(2-hydroxyethoxy)ethoxy]ethoxy]ethyl  stearate;;Emulsifying
L4613;PEG-4 TALLATE;;;61791-00-2;;Fatty acids, tall-oil, ethoxylated;;Emulsifying
L4614;PEG-4-PPG-7 C13/C15 ALCOHOL;;;;;;;Surfactant
L4615;PEG-5 CASTOR OIL;;;61791-12-6;;Castor oil, ethoxylated;;Emulsifying/surfactant
L4616;PEG-5 COCAMIDE;;;61791-08-0;;Fatty acids, coco, reaction products with ethanolamine, ethoxylated;;Emulsifying/surfactant
L4617;PEG-5 COCAMINE;;;61791-14-8;;Amines, coco alkyl, ethoxylated;;Emulsifying
L4618;PEG-5 COCOATE;;;61791-29-5;;Fatty acids, coco, ethoxylated;;Emulsifying
L4619;PEG-5 COCOMONIUM METHOSULFATE;;;68989-03-7;;;;Antistatic
L4620;PEG-5 DEDM HYDANTOIN;;;;;;;Antimicrobial
L4621;PEG-5 DEDM HYDANTOIN OLEATE;;;;;;;Antimicrobial
L4622;PEG-5 DITRIDECYLMO- NIUM CHLORIDE;;;;;;;Antistatic/surfactant
L4623;PEG-5  ETHYLHEXANOATE;;;;;;;Emulsifying
L4624;PEG-5 GLYCERYL SES- QUIOLEATE;;;57107-97-8;;;;Emulsifying
L4625;PEG-5 GLYCERYL STEA- RATE;;;51158-08-8;;Poly(oxy-1,2-ethanediyl), .alpha.-hydro-.omega.-hydroxy-, ether  with  1,2,3-propanetriol  monooctadecanoate  (2:1);;Emulsifying/surfactant
L4626;PEG-5 GLYCERYL TRIISOS- TEARATE;;;;;;;Emollient/emulsifying
L4627;PEG-5 HYDROGENATED CASTOR OIL;;;61788-85-0;;Castor oil,  hydrogenated, ethoxylated;;Emulsifying/surfactant
L4628;PEG-5 HYDROGENATED CORN GLYCERIDES;;;;;;;Emulsifying/surfactant
L4629;PEG-5 HYDROGENATED LANOLIN;;;68648-27-1;;Lanolin,  hydrogenated, ethoxylated;;Emollient/emulsifying
L4630;PEG-5 HYDROGENATED TALLOW AMINE;;;61791-26-2;;Amines, tallow alkyl, ethoxylated;;Emulsifying
L4631;PEG-5 ISODECYLOXYPRO- PYLAMINE;;;;;Poly(oxy-1,2-ethanediyl), .alpha.,.alpha'.-[[[3-(isodecyloxy) propyl]imino]di-2,1-ethanediyl]bis[.omega.-hydroxy]-, (5 mol EO average molar  ratio);;Antistatic
L4632;PEG-5 LANOLATE;;;68459-50-7;;Fatty acids, lanolin, ethoxylated;;Emulsifying
L4633;PEG-5 LANOLIN;;;61790-81-6;;Lanolin, ethoxylated;;Emulsifying
L4634;PEG-5 LANOLINAMIDE;;;;;;;Emulsifying
L4635;PEG-5 LAURAMIDE;;;26635-75-6;;Poly(oxy-1,2-ethanediyl), .alpha.-[2-[(1-oxododecyl)amino] ethyl]-.omega.-hydroxy-;;Emulsifying
L4636;PEG-5M;;;25322-68-3;;Poly(oxy-1,2-ethanediyl), .alpha.-hydro-.omega.-hydroxy-;;Binding/emulsion stabilising/visc- osity controlling
L4637;PEG-5 OLEAMIDE;;;26027-37-2;;Poly(oxy-1,2-ethanediyl), .alpha.-[2-[(1-oxo-9-octadecenyl) amino]ethyl]-.omega.-hydroxy-;;Emulsifying
L4638;PEG-5 OLEAMIDE DIOLE- ATE;;;;;;;Emulsifying
L4639;PEG-5 OLEAMINE;;;;;;;Emulsifying
L4640;PEG-5 OLEATE;;;9004-96-0;;Poly(oxy-1,2-ethanediyl), .alpha.-(1-oxo-9-octadecenyl)-. omega.-hydroxy-, (Z)-;;Emulsifying
L4641;PEG-5 PENTAERYTHRITYL ETHER;;;;;;;Emollient
L4642;PEG-5 SORBITAN ISO- STEARATE;;;66794-58-9;;;;Emulsifying
L4643;PEG-5 SOYA STEROL;;;;;;;Emulsifying
