enum1;chemical1;Unnamed: 2;enum2;chemical2;Unnamed: 5;Unnamed: 6;Unnamed: 7;enum3;chemical3;colour;legal
;;;;;;;;E1201;Polyvinylpyrrolidone;stabiliser;Approved in the EU.[20]
;;;;;;;;E1202;Polyvinylpolypyrrolidone;stabiliser;Approved in the EU.[20]
;;;;;;;;E1203;Polyvinyl alcohol;;Approved in 2010[24]
;;;;;;;;E1204;Pullulan;;Approved in the EU.[20]
;;;;;;;;E1400;"Dextrin;Dextrins; roasted starch white and yellow";thickening agent;
;;;;;;;;E1401;"Modified starch;Acid-treated starch";thickening agent;
;;;;;;;;E1402;Alkaline modified starch ;thickening agent;
;;;;;;;;E1403;Bleached starch;thickening agent;
;;;;;;;;E1404;Oxidized starch;thickening agent;Approved in the EU.[20]
;;;;;;;;E1405;Enzyme treated starch;;
;;;;;;;;E1410;Monostarch phosphate;thickening agent;Approved in the EU.[20]
;;;;;;;;E1411;Distarch glycerol;emulsifier;
;;;;;;;;E1412;"Distarch phosphate esterified with sodium trimetasphosphate; esterified with phosphorus oxychloride";thickening agent;Approved in the EU.[20]
;;;;;;;;E1413;Phosphated distarch phosphate ;thickening agent;Approved in the EU.[20]
;;;;;;;;E1414;Acetylated distarch phosphate;thickening agent;Approved in the EU.[20]
;;;;;;;;E1420;Starch acetate esterified with acetic anhydride;thickening agent;Approved in the EU.[20]
;;;;;;;;E1421;Starch acetate esterified with vinyl acetate ;thickening agent;
;;;;;;;;E1422;Acetylated distarch adipate;thickening agent;Approved in the EU.[20]
;;;;;;;;E1423;Acetylated distarch glycerol;thickening agent;
;;;;;;;;E1430;Distarch glycerine;thickening agent;
;;;;;;;;E1440;Hydroxy propyl starch;thickening agent;Approved in the EU.[20]
;;;;;;;;E1441;Hydroxy propyl distarch glycerine ;thickening agent;
;;;;;;;;E1442;Hydroxy propyl distarch phosphate ;thickening agent;Approved in the EU.[20]
;;;;;;;;E1443;Hydroxy propyl distarch glycerol;;
;;;;;;;;E1450;Starch sodium octenyl succinate ;thickening agent;Approved in the EU.[20]
;;;;;;;;E1451;Acetylated oxidised starch;thickening agent;Approved in the EU.[20]
;;;;;;;;E1452;Starch aluminium octenyl succinate;;Approved in the EU.[20]
;;;;;;;;E1501;Benzylated hydrocarbons;;
;;;;;;;;E1502;Butane-1,3-diol;;
;;;;;;;;E1503;Castor oil;resolving agent;
;;;;;;;;E1504;Ethyl acetate;flavour solvent;
;;;;;;;;E1505;Triethyl citrate;foam stabiliser;Approved in the EU.[20]
;;;;;;;;E1510;Ethanol;;
;;;;;;;;E1516;Glyceryl monoacetate;flavour solvent;
;;;;;;;;E1517;Glyceryl diacetate or diacetin;flavour solvent;
;;;;;;;;E1518;Glyceryl triacetate or triacetin;humectant and flavour solvent;Approved in the EU.[20]
;;;;;;;;E1519;Benzyl alcohol;;
;;;;;;;;E1520;Propylene glycol;humectant and flavour solvent;Approved in the EU.[20]
;;;;;;;;E1521;Polyethylene glycol 8000;;Approved in 2010[24]
;;;;;;;;E1525;Hydroxyethyl cellulose;thickening agent;
