enum1;chemical1;Unnamed: 2;enum2;chemical2;Unnamed: 5;Unnamed: 6;Unnamed: 7;enum3;chemical3;colour;legal
E310;Propyl gallate;;E321;Butylated hydroxytoluene (BHT);;;;E228;Potassium hydrogen sulfite;preservative;Approved in the EU.[10]
E311;Octyl gallate;;E392;Extracts of rosemary;;;;E230;"Biphenyl; diphenyl";preservative;Not approved in the EU.
E312;Dodecyl gallate;;E586;4-Hexylresorcinol;;;;E231;Orthophenyl phenol;preservative;Not approved in the EU.
E315;Erythorbic acid;;E420;(i) Sorbitol;;;;E232;Sodium orthophenyl phenol;preservative;Not approved in the EU.
E316;Sodium erythorbate;;E420;(ii) Sorbitol syrup;;;;E233;Thiabendazole;preservative;Not approved in the EU.
E319;Tertiary-butyl hydroquinone (TBHQ);;E421;Mannitol;;;;E234;Nisin;preservative;Approved in the EU.[10]
E320;Butylated hydroxyanisole (BHA);;E950;Acesulfame K;;;;E235;"Natamycin; Pimaracin";preservative;Approved in the EU.[10]
E321;Butylated hydroxytoluene (BHT);;E951;Aspartame;;;;E236;Formic acid;preservative;
E322;Lecithins;;E952;Cyclamic acid and its Na and Ca salts;;;;E237;Sodium formate;preservative;
E325;Sodium lactate;;E953;lsomalt;;;;E238;Calcium formate;preservative;
E326;Potassium lactate;;E954;"Saccharin and its Na; K and Ca salts";;;;E239;"Hexamine;hexamethylene tetramine";preservative;Approved in the EU.[10]
E327;Calcium lactate;;E955;Sucralose;;;;E240;Formaldehyde;preservative;
E330;Citric acid;;E957;Thaumatin;;;;E242;Dimethyl dicarbonate;preservative;Approved in the EU.[10]
E331;Sodium citrates;;E959;Neohesperidine DC;;;;E249;Potassium nitrite;preservative;Approved in the EU.[10]
E332;Potassium citrates;;E960;Steviol glycoside;;;;E250;Sodium nitrite;preservative;Approved in the EU.[10]
E333;Calcium citrates;;E961;Neotame;;;;E251;"Sodium nitrate;Chile saltpetre";preservative;Approved in the EU.[10]
E334;Tartaric acid (L(+)-);;E962;Salt of aspartame-acesulfame;;;;E252;"Potassium nitrate;Saltpetre";preservative;Approved in the EU.[10]
E335;Sodium tartrates;;E964;Polyglycitol syrup;;;;E260;Acetic acid ;acidity regulator;Approved in the EU.[20]
E336;Potassium tartrates;;E965;(i) Maltitol;;;;E261;Potassium acetate ;acidity regulator;Approved in the EU.[20]
E337;Sodium potassium tartrate;;E965;(ii) Maltitol syrup;;;;E262;"Sodium acetates; Sodium acetate; Sodium diacetate;sodium hydrogen acetate";preservative, acidity regulator;Approved in the EU.[20]
E338;Phosphoric acid;;E966;Lactitol;;;;E263;Calcium acetate;acidity regulator;Approved in the EU.[20]
E339;Sodium phosphates;;E967;Xylitol;;;;E264;Ammonium acetate;preservative;Approved in Australia and New Zealand[21]
E340;Potassium phosphates;;E968;Erythritol;;;;E265;Dehydroacetic acid;preservative;
E341;Calcium phosphates;;E969;Advantame;;;;E266;Sodium dehydroacetate;preservative;
E343;Magnesium phosphates;;E322;Lecithins;;;;E270;Lactic acid ;antioxidant;Approved in the EU.[20]
E350;Sodium malates;;E400;Alginic acid;;;;E280;Propionic acid;preservative;Approved in the EU.[10]
